routeID,date,fromStop,toStop,departure,arrival,actualTravelTimeMin,benchmarkTravelTime,delay
CR-Fairmount,6/1/2019,South Station,Readville,8:51:43,9:23:04,31.35,28,3.35
CR-Fairmount,6/1/2019,South Station,Readville,9:53:55,10:22:09,28.23333333,28,0.233333333
CR-Fairmount,6/1/2019,South Station,Readville,17:52:39,18:18:34,25.91666667,28,-2.083333333
CR-Fairmount,6/1/2019,South Station,Readville,19:51:16,20:18:55,27.65,28,-0.35
CR-Fairmount,6/1/2019,South Station,Uphams Corner,8:51:43,9:01:31,9.8,10,-0.2
CR-Fairmount,6/1/2019,South Station,Uphams Corner,9:53:55,10:02:55,9,10,-1
CR-Fitchburg,6/1/2019,North Station,Wachusett,0:12:21,1:41:48,89.45,94,-4.55
CR-Fitchburg,6/1/2019,North Station,Wachusett,10:48:20,12:27:54,99.56666667,96,3.566666667
CR-Fitchburg,6/1/2019,North Station,Wachusett,13:11:40,14:50:29,98.81666667,96,2.816666667
CR-Fitchburg,6/1/2019,North Station,Wachusett,17:49:07,19:21:31,92.4,96,-3.6
CR-Fitchburg,6/1/2019,North Station,Wachusett,19:56:34,21:32:34,96,96,0
CR-Fitchburg,6/1/2019,North Station,Waverley,10:48:20,11:05:51,17.51666667,17,0.516666667
CR-Fitchburg,6/1/2019,North Station,Waverley,13:11:40,13:28:42,17.03333333,17,0.033333333
CR-Fitchburg,6/1/2019,North Station,Waverley,17:49:07,18:03:08,14.01666667,17,-2.983333333
CR-Fitchburg,6/1/2019,North Station,Waverley,19:56:34,20:11:36,15.03333333,17,-1.966666667
CR-Fitchburg,6/1/2019,North Station,Littleton / Rte 495,0:12:21,1:05:38,53.28333333,55,-1.716666667
CR-Fitchburg,6/1/2019,North Station,Littleton / Rte 495,10:48:20,11:45:52,57.53333333,56,1.533333333
CR-Fitchburg,6/1/2019,North Station,Littleton / Rte 495,13:11:40,14:06:45,55.08333333,56,-0.916666667
CR-Fitchburg,6/1/2019,North Station,Littleton / Rte 495,17:49:07,18:41:10,52.05,56,-3.95
CR-Fitchburg,6/1/2019,North Station,Littleton / Rte 495,19:56:34,20:50:38,54.06666667,56,-1.933333333
CR-Worcester,6/1/2019,South Station,Worcester,6:43:17,8:09:13,85.93333333,90,-4.066666667
