actualTravelTimeMin,benchmarkTravelTime,delay,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
24.13333333,25.0,-0.8666666670000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,1,0
22.36666667,25.0,-2.633333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,0,0,1,1,0
29.55,25.0,4.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1,0,0,0,0,1,1
25.9,25.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,1,0,0,0,0,1,1
27.26666667,30.0,-2.733333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1,1,0,0,1,0,0
28.58333333,30.0,-1.4166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,1,0,0,0,0,0,0
28.56666667,30.0,-1.4333333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,17,1,0,1,0,1,0,0
28.11666667,30.0,-1.8833333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,1,0,1,0,1,0,0
28.11666667,30.0,-1.8833333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,1,0,1,0,1,0,0
27.45,30.0,-2.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,1,0,1,0,0,0,0
29.46666667,30.0,-0.533333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,1,0,1,0,0,0,0
27.25,30.0,-2.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,1,0,0,0,0,0
28.86666667,30.0,-1.133333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,1,0,0,0,0,0
26.6,30.0,-3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,1,1,0,0,1,0,0
28.25,30.0,-1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1,1,0,0,1,0,0
41.0,30.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,1,1,0,0,0,0,1
28.0,30.0,-2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,1,1,0,0,0,0,0
27.66666667,30.0,-2.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,1,0,0,0,0,0,0
