benchmarkTravelTime,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,1,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,0,0,1,1,0
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1,0,0,0,0,1,1
25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,1,0,0,0,0,1,1
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1,1,0,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,17,1,0,1,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,1,0,1,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,1,0,1,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,1,0,1,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,1,0,1,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,1,1,0,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1,1,0,0,1,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,1,1,0,0,0,0,1
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,1,1,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,1,0,0,0,0,0,0
30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,1,0,1,0,1,0,0
